any,municipi,concepte,estat,valor
2022,Castellvell del Camp,estrangers de països de renda baixa o mitjana (%),,1.6
2022,Castellvell del Camp,renda mitjana per persona (€),,18764
2022,Castellví de la Marca,població ocupada (%),,71
2022,Castellví de la Marca,treballadors de baixa qualificació (%),,12.7
2022,Castellví de la Marca,població amb estudis baixos (%),,15.7
2022,Castellví de la Marca,població jove sense estudis postobligatoris (%),,18.4
2022,Castellví de la Marca,estrangers de països de renda baixa o mitjana (%),,7.4
2022,Castellví de la Marca,renda mitjana per persona (€),,14750
2022,Castellví de Rosanes,població ocupada (%),,72.2
2022,Castellví de Rosanes,treballadors de baixa qualificació (%),,6.7
2022,Castellví de Rosanes,població amb estudis baixos (%),,12.9
2022,Castellví de Rosanes,població jove sense estudis postobligatoris (%),,13.8
2022,Castellví de Rosanes,estrangers de països de renda baixa o mitjana (%),,4.4
2022,Castellví de Rosanes,renda mitjana per persona (€),,17767
2022,"Catllar, el",població ocupada (%),,71.1
2022,"Catllar, el",treballadors de baixa qualificació (%),,7.3
2022,"Catllar, el",població amb estudis baixos (%),,8.6
2022,"Catllar, el",població jove sense estudis postobligatoris (%),,18.8
2022,"Catllar, el",estrangers de països de renda baixa o mitjana (%),,4.8
2022,"Catllar, el",renda mitjana per persona (€),,16578
2022,Cava,població ocupada (%),,55.8
2022,Cava,treballadors de baixa qualificació (%),.., 
2022,Cava,població amb estudis baixos (%),,14.3
2022,Cava,població jove sense estudis postobligatoris (%),.., 
2022,Cava,estrangers de països de renda baixa o mitjana (%),,0
2022,Cava,renda mitjana per persona (€),,18046
2022,"Cellera de Ter, la",població ocupada (%),,69
2022,"Cellera de Ter, la",treballadors de baixa qualificació (%),,10.6
2022,"Cellera de Ter, la",població amb estudis baixos (%),,20.9
2022,"Cellera de Ter, la",població jove sense estudis postobligatoris (%),,19.1
2022,"Cellera de Ter, la",estrangers de països de renda baixa o mitjana (%),,7.4
2022,"Cellera de Ter, la",renda mitjana per persona (€),,14695
2022,Celrà,població ocupada (%),,73.5
2022,Celrà,treballadors de baixa qualificació (%),,15.1
2022,Celrà,població amb estudis baixos (%),,13.6
2022,Celrà,població jove sense estudis postobligatoris (%),,33.4
2022,Celrà,estrangers de països de renda baixa o mitjana (%),,19.7
2022,Celrà,renda mitjana per persona (€),,14923
2022,Centelles,població ocupada (%),,73
2022,Centelles,treballadors de baixa qualificació (%),,14.7
2022,Centelles,població amb estudis baixos (%),,13.1
2022,Centelles,població jove sense estudis postobligatoris (%),,21.2
2022,Centelles,estrangers de països de renda baixa o mitjana (%),,5.3
2022,Centelles,renda mitjana per persona (€),,15311
2022,Cercs,població ocupada (%),,65.9
2022,Cercs,treballadors de baixa qualificació (%),,13.1
2022,Cercs,població amb estudis baixos (%),,18.5
2022,Cercs,població jove sense estudis postobligatoris (%),,25.2
2022,Cercs,estrangers de països de renda baixa o mitjana (%),,2.5
2022,Cercs,renda mitjana per persona (€),,15142
2022,Cerdanyola del Vallès,població ocupada (%),,66.9
2022,Cerdanyola del Vallès,treballadors de baixa qualificació (%),,9.6
2022,Cerdanyola del Vallès,població amb estudis baixos (%),,11.9
2022,Cerdanyola del Vallès,població jove sense estudis postobligatoris (%),,13.8
2022,Cerdanyola del Vallès,estrangers de països de renda baixa o mitjana (%),,7.4
2022,Cerdanyola del Vallès,renda mitjana per persona (€),,16959
2022,Cervelló,població ocupada (%),,73
2022,Cervelló,treballadors de baixa qualificació (%),,8.1
2022,Cervelló,població amb estudis baixos (%),,9.6
2022,Cervelló,població jove sense estudis postobligatoris (%),,15.9
2022,Cervelló,estrangers de països de renda baixa o mitjana (%),,4.6
2022,Cervelló,renda mitjana per persona (€),,17265
2022,Cervera,població ocupada (%),,67.9
2022,Cervera,treballadors de baixa qualificació (%),,17.3
2022,Cervera,població amb estudis baixos (%),,19.1
2022,Cervera,població jove sense estudis postobligatoris (%),,35.8
2022,Cervera,estrangers de països de renda baixa o mitjana (%),,21.9
2022,Cervera,renda mitjana per persona (€),,13394
2022,Cervià de les Garrigues,població ocupada (%),,63.2
2022,Cervià de les Garrigues,treballadors de baixa qualificació (%),.., 
2022,Cervià de les Garrigues,població amb estudis baixos (%),,21
2022,Cervià de les Garrigues,població jove sense estudis postobligatoris (%),,26.2
2022,Cervià de les Garrigues,estrangers de països de renda baixa o mitjana (%),,3.4
2022,Cervià de les Garrigues,renda mitjana per persona (€),,11416
2022,Cervià de Ter,població ocupada (%),,73
2022,Cervià de Ter,treballadors de baixa qualificació (%),,10.4
2022,Cervià de Ter,població amb estudis baixos (%),,12.5
2022,Cervià de Ter,població jove sense estudis postobligatoris (%),,21.4
2022,Cervià de Ter,estrangers de països de renda baixa o mitjana (%),,9.5
2022,Cervià de Ter,renda mitjana per persona (€),,16289
2022,Cistella,població ocupada (%),,74.7
2022,Cistella,treballadors de baixa qualificació (%),.., 
2022,Cistella,població amb estudis baixos (%),,11.7
2022,Cistella,població jove sense estudis postobligatoris (%),.., 
2022,Cistella,estrangers de països de renda baixa o mitjana (%),,3.6
2022,Cistella,renda mitjana per persona (€),,14790
2022,Ciutadilla,població ocupada (%),,74.9
2022,Ciutadilla,treballadors de baixa qualificació (%),.., 
2022,Ciutadilla,població amb estudis baixos (%),,8.6
2022,Ciutadilla,població jove sense estudis postobligatoris (%),.., 
2022,Ciutadilla,estrangers de països de renda baixa o mitjana (%),,1.6
2022,Ciutadilla,renda mitjana per persona (€),,13263
2022,Clariana de Cardener,població ocupada (%),,74.1
2022,Clariana de Cardener,treballadors de baixa qualificació (%),.., 
2022,Clariana de Cardener,població amb estudis baixos (%),,7.5
2022,Clariana de Cardener,població jove sense estudis postobligatoris (%),.., 
2022,Clariana de Cardener,estrangers de països de renda baixa o mitjana (%),,1.9
2022,Clariana de Cardener,renda mitjana per persona (€),,13235
2022,"Cogul, el",població ocupada (%),,71.3
2022,"Cogul, el",treballadors de baixa qualificació (%),.., 
2022,"Cogul, el",població amb estudis baixos (%),,18.7
2022,"Cogul, el",població jove sense estudis postobligatoris (%),.., 
2022,"Cogul, el",estrangers de països de renda baixa o mitjana (%),,5.2
2022,"Cogul, el",renda mitjana per persona (€),,11940
2022,Colera,població ocupada (%),,56.4
2022,Colera,treballadors de baixa qualificació (%),.., 
2022,Colera,població amb estudis baixos (%),,15.3
2022,Colera,població jove sense estudis postobligatoris (%),.., 
2022,Colera,estrangers de països de renda baixa o mitjana (%),,3.8
2022,Colera,renda mitjana per persona (€),,18047
2022,Coll de Nargó,població ocupada (%),,65.9
2022,Coll de Nargó,treballadors de baixa qualificació (%),.., 
2022,Coll de Nargó,població amb estudis baixos (%),,22.5
2022,Coll de Nargó,població jove sense estudis postobligatoris (%),,18.9
2022,Coll de Nargó,estrangers de països de renda baixa o mitjana (%),,4.4
2022,Coll de Nargó,renda mitjana per persona (€),,13841
2022,Collbató,població ocupada (%),,74.5
2022,Collbató,treballadors de baixa qualificació (%),,6.6
2022,Collbató,població amb estudis baixos (%),,6.5
2022,Collbató,població jove sense estudis postobligatoris (%),,11.6
2022,Collbató,estrangers de països de renda baixa o mitjana (%),,2.1
2022,Collbató,renda mitjana per persona (€),,19840
2022,Colldejou,població ocupada (%),,70.1
2022,Colldejou,treballadors de baixa qualificació (%),.., 
2022,Colldejou,població amb estudis baixos (%),,5.6
2022,Colldejou,població jove sense estudis postobligatoris (%),.., 
2022,Colldejou,estrangers de països de renda baixa o mitjana (%),,0.6
2022,Colldejou,renda mitjana per persona (€),,14055
2022,Collsuspina,població ocupada (%),,73.9
2022,Collsuspina,treballadors de baixa qualificació (%),.., 
2022,Collsuspina,població amb estudis baixos (%),,11.4
2022,Collsuspina,població jove sense estudis postobligatoris (%),.., 
2022,Collsuspina,estrangers de països de renda baixa o mitjana (%),,1.5
2022,Collsuspina,renda mitjana per persona (€),,14293
2022,Colomers,població ocupada (%),,72.7
2022,Colomers,treballadors de baixa qualificació (%),.., 
2022,Colomers,població amb estudis baixos (%),,10.9
2022,Colomers,població jove sense estudis postobligatoris (%),.., 
2022,Colomers,estrangers de països de renda baixa o mitjana (%),,4.9
2022,Colomers,renda mitjana per persona (€),,18236
2022,"Coma i la Pedra, la",població ocupada (%),,69.9
2022,"Coma i la Pedra, la",treballadors de baixa qualificació (%),.., 
2022,"Coma i la Pedra, la",població amb estudis baixos (%),,8.7
2022,"Coma i la Pedra, la",població jove sense estudis postobligatoris (%),.., 
2022,"Coma i la Pedra, la",estrangers de països de renda baixa o mitjana (%),,1.1
2022,"Coma i la Pedra, la",renda mitjana per persona (€),,16537
2022,Conca de Dalt,població ocupada (%),,68.5
2022,Conca de Dalt,treballadors de baixa qualificació (%),.., 
2022,Conca de Dalt,població amb estudis baixos (%),,17.1
2022,Conca de Dalt,població jove sense estudis postobligatoris (%),.., 
2022,Conca de Dalt,estrangers de països de renda baixa o mitjana (%),,3.5
2022,Conca de Dalt,renda mitjana per persona (€),,16474
2022,Conesa,població ocupada (%),,54.2
2022,Conesa,treballadors de baixa qualificació (%),.., 
2022,Conesa,població amb estudis baixos (%),,16
2022,Conesa,població jove sense estudis postobligatoris (%),.., 
2022,Conesa,estrangers de països de renda baixa o mitjana (%),,7.4
2022,Conesa,renda mitjana per persona (€),,13966
2022,Constantí,població ocupada (%),,57.7
2022,Constantí,treballadors de baixa qualificació (%),,16
2022,Constantí,població amb estudis baixos (%),,19.3
2022,Constantí,població jove sense estudis postobligatoris (%),,43.4
2022,Constantí,estrangers de països de renda baixa o mitjana (%),,17.6
2022,Constantí,renda mitjana per persona (€),,11364
2022,Copons,població ocupada (%),,79.5
2022,Copons,treballadors de baixa qualificació (%),.., 
2022,Copons,població amb estudis baixos (%),,5.9
2022,Copons,població jove sense estudis postobligatoris (%),.., 
2022,Copons,estrangers de països de renda baixa o mitjana (%),,0.3
2022,Copons,renda mitjana per persona (€),,16412
2022,Corbera d'Ebre,població ocupada (%),,65.9
2022,Corbera d'Ebre,treballadors de baixa qualificació (%),,18.5
2022,Corbera d'Ebre,població amb estudis baixos (%),,16.6
2022,Corbera d'Ebre,població jove sense estudis postobligatoris (%),,32.7
2022,Corbera d'Ebre,estrangers de països de renda baixa o mitjana (%),,14.7
2022,Corbera d'Ebre,renda mitjana per persona (€),,12232
2022,Corbera de Llobregat,població ocupada (%),,70.8
2022,Corbera de Llobregat,treballadors de baixa qualificació (%),,7.7
2022,Corbera de Llobregat,població amb estudis baixos (%),,10
2022,Corbera de Llobregat,població jove sense estudis postobligatoris (%),,19.7
2022,Corbera de Llobregat,estrangers de països de renda baixa o mitjana (%),,6.7
2022,Corbera de Llobregat,renda mitjana per persona (€),,17036
2022,Corbins,població ocupada (%),,70.5
2022,Corbins,treballadors de baixa qualificació (%),,16.4
2022,Corbins,població amb estudis baixos (%),,15.8
2022,Corbins,població jove sense estudis postobligatoris (%),,27.9
2022,Corbins,estrangers de països de renda baixa o mitjana (%),,14
2022,Corbins,renda mitjana per persona (€),,13407
2022,Corçà,població ocupada (%),,73.8
2022,Corçà,treballadors de baixa qualificació (%),,12.7
2022,Corçà,població amb estudis baixos (%),,15.9
2022,Corçà,població jove sense estudis postobligatoris (%),,20.9
2022,Corçà,estrangers de països de renda baixa o mitjana (%),,4.3
2022,Corçà,renda mitjana per persona (€),,15843
2022,Cornellà de Llobregat,població ocupada (%),,67.3
2022,Cornellà de Llobregat,treballadors de baixa qualificació (%),,13.6
2022,Cornellà de Llobregat,població amb estudis baixos (%),,17.3
2022,Cornellà de Llobregat,població jove sense estudis postobligatoris (%),,26.3
2022,Cornellà de Llobregat,estrangers de països de renda baixa o mitjana (%),,14.2
2022,Cornellà de Llobregat,renda mitjana per persona (€),,14101
2022,Cornellà del Terri,població ocupada (%),,76.5
2022,Cornellà del Terri,treballadors de baixa qualificació (%),,10.2
2022,Cornellà del Terri,població amb estudis baixos (%),,9.3
2022,Cornellà del Terri,població jove sense estudis postobligatoris (%),,21.8
2022,Cornellà del Terri,estrangers de països de renda baixa o mitjana (%),,6.8
2022,Cornellà del Terri,renda mitjana per persona (€),,16004
2022,Cornudella de Montsant,població ocupada (%),,68
2022,Cornudella de Montsant,treballadors de baixa qualificació (%),.., 
2022,Cornudella de Montsant,població amb estudis baixos (%),,11.3
2022,Cornudella de Montsant,població jove sense estudis postobligatoris (%),,15.5
2022,Cornudella de Montsant,estrangers de països de renda baixa o mitjana (%),,6.8
2022,Cornudella de Montsant,renda mitjana per persona (€),,13906
2022,Creixell,població ocupada (%),,60.8
2022,Creixell,treballadors de baixa qualificació (%),,13.6
2022,Creixell,població amb estudis baixos (%),,17.4
2022,Creixell,població jove sense estudis postobligatoris (%),,30.1
2022,Creixell,estrangers de països de renda baixa o mitjana (%),,12.4
2022,Creixell,renda mitjana per persona (€),,13679
2022,Crespià,població ocupada (%),,72.3
2022,Crespià,treballadors de baixa qualificació (%),.., 
2022,Crespià,població amb estudis baixos (%),,5
2022,Crespià,població jove sense estudis postobligatoris (%),.., 
2022,Crespià,estrangers de països de renda baixa o mitjana (%),,6.9
2022,Crespià,renda mitjana per persona (€),,13784
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",població ocupada (%),,69.3
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",treballadors de baixa qualificació (%),,14.4
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",població amb estudis baixos (%),,14.9
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",població jove sense estudis postobligatoris (%),,19.9
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",estrangers de països de renda baixa o mitjana (%),,5.8
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",renda mitjana per persona (€),,16307
2022,Cubelles,població ocupada (%),,65.5
2022,Cubelles,treballadors de baixa qualificació (%),,9.8
2022,Cubelles,població amb estudis baixos (%),,11.7
2022,Cubelles,població jove sense estudis postobligatoris (%),,26.6
2022,Cubelles,estrangers de països de renda baixa o mitjana (%),,7.1
2022,Cubelles,renda mitjana per persona (€),,15328
2022,Cubells,població ocupada (%),,75.2
2022,Cubells,treballadors de baixa qualificació (%),.., 
2022,Cubells,població amb estudis baixos (%),,12.4
2022,Cubells,població jove sense estudis postobligatoris (%),.., 
2022,Cubells,estrangers de països de renda baixa o mitjana (%),,5.4
2022,Cubells,renda mitjana per persona (€),,14980
2022,Cunit,població ocupada (%),,59.3
2022,Cunit,treballadors de baixa qualificació (%),,14
2022,Cunit,població amb estudis baixos (%),,17.1
2022,Cunit,població jove sense estudis postobligatoris (%),,35.8
2022,Cunit,estrangers de països de renda baixa o mitjana (%),,12.7
2022,Cunit,renda mitjana per persona (€),,12936
2022,Darnius,població ocupada (%),,63.4
2022,Darnius,treballadors de baixa qualificació (%),.., 
2022,Darnius,població amb estudis baixos (%),,5.9
2022,Darnius,població jove sense estudis postobligatoris (%),,35.7
2022,Darnius,estrangers de països de renda baixa o mitjana (%),,5.6
2022,Darnius,renda mitjana per persona (€),,13520
2022,Das,població ocupada (%),,72
2022,Das,treballadors de baixa qualificació (%),.., 
2022,Das,població amb estudis baixos (%),,4.8
2022,Das,població jove sense estudis postobligatoris (%),.., 
2022,Das,estrangers de països de renda baixa o mitjana (%),,3
2022,Das,renda mitjana per persona (€),,20849
2022,Deltebre,població ocupada (%),,61.9
2022,Deltebre,treballadors de baixa qualificació (%),,12.9
2022,Deltebre,població amb estudis baixos (%),,14.9
2022,Deltebre,població jove sense estudis postobligatoris (%),,32.7
2022,Deltebre,estrangers de països de renda baixa o mitjana (%),,8.5
2022,Deltebre,renda mitjana per persona (€),,11898
2022,Dosrius,població ocupada (%),,71.5
2022,Dosrius,treballadors de baixa qualificació (%),,8.9
2022,Dosrius,població amb estudis baixos (%),,8.5
2022,Dosrius,població jove sense estudis postobligatoris (%),,19.2
2022,Dosrius,estrangers de països de renda baixa o mitjana (%),,2.5
2022,Dosrius,renda mitjana per persona (€),,15754
2022,Duesaigües,població ocupada (%),,58.9
2022,Duesaigües,treballadors de baixa qualificació (%),.., 
2022,Duesaigües,població amb estudis baixos (%),,10.9
2022,Duesaigües,població jove sense estudis postobligatoris (%),.., 
2022,Duesaigües,estrangers de països de renda baixa o mitjana (%),,10.3
2022,Duesaigües,renda mitjana per persona (€),,14160
2022,"Escala, l'",població ocupada (%),,59.2
2022,"Escala, l'",treballadors de baixa qualificació (%),,17.6
2022,"Escala, l'",població amb estudis baixos (%),,19.6
2022,"Escala, l'",població jove sense estudis postobligatoris (%),,36
2022,"Escala, l'",estrangers de països de renda baixa o mitjana (%),,16.7
2022,"Escala, l'",renda mitjana per persona (€),,13474
2022,Esparreguera,població ocupada (%),,69.8
2022,Esparreguera,treballadors de baixa qualificació (%),,11.9
2022,Esparreguera,població amb estudis baixos (%),,13.7
2022,Esparreguera,població jove sense estudis postobligatoris (%),,27.3
2022,Esparreguera,estrangers de països de renda baixa o mitjana (%),,6.9
2022,Esparreguera,renda mitjana per persona (€),,15138
2022,Espinelves,població ocupada (%),,78
2022,Espinelves,treballadors de baixa qualificació (%),.., 
2022,Espinelves,població amb estudis baixos (%),,10.6
2022,Espinelves,població jove sense estudis postobligatoris (%),.., 
2022,Espinelves,estrangers de països de renda baixa o mitjana (%),,4
2022,Espinelves,renda mitjana per persona (€),,17600
2022,"Espluga Calba, l'",població ocupada (%),,69
2022,"Espluga Calba, l'",treballadors de baixa qualificació (%),.., 
2022,"Espluga Calba, l'",població amb estudis baixos (%),,13.3
2022,"Espluga Calba, l'",població jove sense estudis postobligatoris (%),.., 
2022,"Espluga Calba, l'",estrangers de països de renda baixa o mitjana (%),,5.2
2022,"Espluga Calba, l'",renda mitjana per persona (€),,11332
2022,"Espluga de Francolí, l'",població ocupada (%),,71.1
2022,"Espluga de Francolí, l'",treballadors de baixa qualificació (%),,14.5
2022,"Espluga de Francolí, l'",població amb estudis baixos (%),,15.4
2022,"Espluga de Francolí, l'",població jove sense estudis postobligatoris (%),,25.7
2022,"Espluga de Francolí, l'",estrangers de països de renda baixa o mitjana (%),,11.1
2022,"Espluga de Francolí, l'",renda mitjana per persona (€),,14174
2022,Esplugues de Llobregat,població ocupada (%),,67.7
2022,Esplugues de Llobregat,treballadors de baixa qualificació (%),,10.7
2022,Esplugues de Llobregat,població amb estudis baixos (%),,15.6
2022,Esplugues de Llobregat,població jove sense estudis postobligatoris (%),,17
2022,Esplugues de Llobregat,estrangers de països de renda baixa o mitjana (%),,10.1
2022,Esplugues de Llobregat,renda mitjana per persona (€),,16998
2022,Espolla,població ocupada (%),,71.9
2022,Espolla,treballadors de baixa qualificació (%),.., 
2022,Espolla,població amb estudis baixos (%),,15.3
2022,Espolla,població jove sense estudis postobligatoris (%),.., 
2022,Espolla,estrangers de països de renda baixa o mitjana (%),,4.9
2022,Espolla,renda mitjana per persona (€),,15835
2022,Esponellà,població ocupada (%),,73.2
2022,Esponellà,treballadors de baixa qualificació (%),.., 
2022,Esponellà,població amb estudis baixos (%),,11.4
2022,Esponellà,població jove sense estudis postobligatoris (%),.., 
2022,Esponellà,estrangers de països de renda baixa o mitjana (%),,3.7
2022,Esponellà,renda mitjana per persona (€),,18153
2022,Espot,població ocupada (%),,74
2022,Espot,treballadors de baixa qualificació (%),.., 
2022,Espot,població amb estudis baixos (%),,6.3
2022,Espot,població jove sense estudis postobligatoris (%),.., 
2022,Espot,estrangers de països de renda baixa o mitjana (%),,4.3
2022,Espot,renda mitjana per persona (€),,18094
2022,"Espunyola, l'",població ocupada (%),,76.1
2022,"Espunyola, l'",treballadors de baixa qualificació (%),.., 
2022,"Espunyola, l'",població amb estudis baixos (%),,15.8
2022,"Espunyola, l'",població jove sense estudis postobligatoris (%),.., 
2022,"Espunyola, l'",estrangers de països de renda baixa o mitjana (%),,0
2022,"Espunyola, l'",renda mitjana per persona (€),,16032
2022,"Esquirol, l'",població ocupada (%),,73.4
2022,"Esquirol, l'",treballadors de baixa qualificació (%),,14.9
2022,"Esquirol, l'",població amb estudis baixos (%),,12.2
2022,"Esquirol, l'",població jove sense estudis postobligatoris (%),,16.5
2022,"Esquirol, l'",estrangers de països de renda baixa o mitjana (%),,5.3
2022,"Esquirol, l'",renda mitjana per persona (€),,16157
2022,Estamariu,població ocupada (%),,59.5
2022,Estamariu,treballadors de baixa qualificació (%),.., 
2022,Estamariu,població amb estudis baixos (%),,15.9
2022,Estamariu,població jove sense estudis postobligatoris (%),.., 
2022,Estamariu,estrangers de països de renda baixa o mitjana (%),,4.7
2022,Estamariu,renda mitjana per persona (€),,11387
2022,"Estany, l'",població ocupada (%),,77.6
2022,"Estany, l'",treballadors de baixa qualificació (%),.., 
2022,"Estany, l'",població amb estudis baixos (%),,13.6
2022,"Estany, l'",població jove sense estudis postobligatoris (%),.., 
2022,"Estany, l'",estrangers de països de renda baixa o mitjana (%),,3.3
2022,"Estany, l'",renda mitjana per persona (€),,16123
2022,Estaràs,població ocupada (%),,72.8
2022,Estaràs,treballadors de baixa qualificació (%),.., 
2022,Estaràs,població amb estudis baixos (%),,16.1
2022,Estaràs,població jove sense estudis postobligatoris (%),.., 
2022,Estaràs,estrangers de països de renda baixa o mitjana (%),,0
2022,Estaràs,renda mitjana per persona (€),,14944
2022,Esterri d'Àneu,població ocupada (%),,68.2
2022,Esterri d'Àneu,treballadors de baixa qualificació (%),.., 
2022,Esterri d'Àneu,població amb estudis baixos (%),,11.2
2022,Esterri d'Àneu,població jove sense estudis postobligatoris (%),,18.4
2022,Esterri d'Àneu,estrangers de països de renda baixa o mitjana (%),,19.7
2022,Esterri d'Àneu,renda mitjana per persona (€),,15006
2022,Esterri de Cardós,població ocupada (%),,71.8
2022,Esterri de Cardós,treballadors de baixa qualificació (%),.., 
2022,Esterri de Cardós,població amb estudis baixos (%),,10.2
2022,Esterri de Cardós,població jove sense estudis postobligatoris (%),.., 
2022,Esterri de Cardós,estrangers de països de renda baixa o mitjana (%),,1.6
2022,Esterri de Cardós,renda mitjana per persona (€),.., 
2022,Falset,població ocupada (%),,70.4
2022,Falset,treballadors de baixa qualificació (%),,18.2
2022,Falset,població amb estudis baixos (%),,15.9
2022,Falset,població jove sense estudis postobligatoris (%),,24.9
2022,Falset,estrangers de països de renda baixa o mitjana (%),,12
2022,Falset,renda mitjana per persona (€),,14155
2022,"Far d'Empordà, el",població ocupada (%),,69.1
2022,"Far d'Empordà, el",treballadors de baixa qualificació (%),.., 
2022,"Far d'Empordà, el",població amb estudis baixos (%),,13
2022,"Far d'Empordà, el",població jove sense estudis postobligatoris (%),,26.3
2022,"Far d'Empordà, el",estrangers de països de renda baixa o mitjana (%),,2
2022,"Far d'Empordà, el",renda mitjana per persona (€),,14576
2022,Farrera,població ocupada (%),,65.3
2022,Farrera,treballadors de baixa qualificació (%),.., 
2022,Farrera,població amb estudis baixos (%),,10.5
2022,Farrera,població jove sense estudis postobligatoris (%),.., 
2022,Farrera,estrangers de països de renda baixa o mitjana (%),,0
2022,Farrera,renda mitjana per persona (€),,13035
2022,"Fatarella, la",població ocupada (%),,73.4
2022,"Fatarella, la",treballadors de baixa qualificació (%),.., 
2022,"Fatarella, la",població amb estudis baixos (%),,31.2
2022,"Fatarella, la",població jove sense estudis postobligatoris (%),,17.6
2022,"Fatarella, la",estrangers de països de renda baixa o mitjana (%),,2.7
2022,"Fatarella, la",renda mitjana per persona (€),,13470
2022,"Febró, la",població ocupada (%),,59.6
2022,"Febró, la",treballadors de baixa qualificació (%),.., 
2022,"Febró, la",població amb estudis baixos (%),,12.8
2022,"Febró, la",població jove sense estudis postobligatoris (%),.., 
2022,"Febró, la",estrangers de països de renda baixa o mitjana (%),,7.7
2022,"Febró, la",renda mitjana per persona (€),.., 
2022,Figaró-Montmany,població ocupada (%),,72.1
2022,Figaró-Montmany,treballadors de baixa qualificació (%),,15
2022,Figaró-Montmany,població amb estudis baixos (%),,12.6
2022,Figaró-Montmany,població jove sense estudis postobligatoris (%),,18.5
2022,Figaró-Montmany,estrangers de països de renda baixa o mitjana (%),,8.1
2022,Figaró-Montmany,renda mitjana per persona (€),,15831
2022,Fígols,població ocupada (%),,60.5
2022,Fígols,treballadors de baixa qualificació (%),.., 
2022,Fígols,població amb estudis baixos (%),,4.8
2022,Fígols,població jove sense estudis postobligatoris (%),.., 
2022,Fígols,estrangers de països de renda baixa o mitjana (%),,0
2022,Fígols,renda mitjana per persona (€),,17217
2022,Fígols i Alinyà,població ocupada (%),,66.1
2022,Fígols i Alinyà,treballadors de baixa qualificació (%),.., 
2022,Fígols i Alinyà,població amb estudis baixos (%),,12.4
2022,Fígols i Alinyà,població jove sense estudis postobligatoris (%),.., 
2022,Fígols i Alinyà,estrangers de països de renda baixa o mitjana (%),,1.9
2022,Fígols i Alinyà,renda mitjana per persona (€),,13113
2022,"Figuera, la",població ocupada (%),,55.8
2022,"Figuera, la",treballadors de baixa qualificació (%),.., 
2022,"Figuera, la",població amb estudis baixos (%),,13.3
2022,"Figuera, la",població jove sense estudis postobligatoris (%),.., 
2022,"Figuera, la",estrangers de països de renda baixa o mitjana (%),,9.8
2022,"Figuera, la",renda mitjana per persona (€),,12193
2022,Figueres,població ocupada (%),,61
2022,Figueres,treballadors de baixa qualificació (%),,19.3
2022,Figueres,població amb estudis baixos (%),,22.4
2022,Figueres,població jove sense estudis postobligatoris (%),,49.8
2022,Figueres,estrangers de països de renda baixa o mitjana (%),,24.9
2022,Figueres,renda mitjana per persona (€),,11857
2022,Figuerola del Camp,població ocupada (%),,69.9
2022,Figuerola del Camp,treballadors de baixa qualificació (%),.., 
2022,Figuerola del Camp,població amb estudis baixos (%),,7.6
2022,Figuerola del Camp,població jove sense estudis postobligatoris (%),.., 
2022,Figuerola del Camp,estrangers de països de renda baixa o mitjana (%),,4.2
2022,Figuerola del Camp,renda mitjana per persona (€),,15585
2022,Flaçà,població ocupada (%),,70.3
2022,Flaçà,treballadors de baixa qualificació (%),,20.7
2022,Flaçà,població amb estudis baixos (%),,18
2022,Flaçà,població jove sense estudis postobligatoris (%),,39.8
2022,Flaçà,estrangers de països de renda baixa o mitjana (%),,24.8
2022,Flaçà,renda mitjana per persona (€),,14422
2022,Flix,població ocupada (%),,59.2
2022,Flix,treballadors de baixa qualificació (%),,11.5
2022,Flix,població amb estudis baixos (%),,21.6
2022,Flix,població jove sense estudis postobligatoris (%),,18.5
2022,Flix,estrangers de països de renda baixa o mitjana (%),,9.1
2022,Flix,renda mitjana per persona (€),,15762
2022,"Floresta, la",població ocupada (%),,67.3
2022,"Floresta, la",treballadors de baixa qualificació (%),.., 
2022,"Floresta, la",població amb estudis baixos (%),,8.1
2022,"Floresta, la",població jove sense estudis postobligatoris (%),.., 
2022,"Floresta, la",estrangers de països de renda baixa o mitjana (%),,4.5
2022,"Floresta, la",renda mitjana per persona (€),,17137
2022,Fogars de la Selva,població ocupada (%),,61.1
2022,Fogars de la Selva,treballadors de baixa qualificació (%),,14
2022,Fogars de la Selva,població amb estudis baixos (%),,13.1
2022,Fogars de la Selva,població jove sense estudis postobligatoris (%),,32.3
2022,Fogars de la Selva,estrangers de països de renda baixa o mitjana (%),,2.5
2022,Fogars de la Selva,renda mitjana per persona (€),,14307
2022,Fogars de Montclús,població ocupada (%),,73.6
2022,Fogars de Montclús,treballadors de baixa qualificació (%),.., 
2022,Fogars de Montclús,població amb estudis baixos (%),,6
2022,Fogars de Montclús,població jove sense estudis postobligatoris (%),.., 
2022,Fogars de Montclús,estrangers de països de renda baixa o mitjana (%),,1.8
2022,Fogars de Montclús,renda mitjana per persona (€),,14644
2022,Foixà,població ocupada (%),,73.8
2022,Foixà,treballadors de baixa qualificació (%),.., 
2022,Foixà,població amb estudis baixos (%),,12
2022,Foixà,població jove sense estudis postobligatoris (%),.., 
2022,Foixà,estrangers de països de renda baixa o mitjana (%),,1.7
2022,Foixà,renda mitjana per persona (€),,21433
